serie,filas,pct_na,pct_cero,pct_pos
A,7126859,67.0220982342993,17.2034900648378,15.7744117008629
BS,1050345,72.7746902208322,17.6096863411546,9.61562343801323
BM,780872,95.3663775881322,1.03741458267168,3.59620782919608
P,1245039,64.6355961540161,15.0179504417131,20.3464534042709
D,329381,91.6978210643601,0.937922952447166,7.36425598319272
