fuente,esperados_65,bajo_control,tasa_pais,brecha_pais,brecha_lo95,brecha_hi95,brecha_urbano,brecha_rural,brecha_mixto
10_66_raw,206725,13114,0.063,0.937,0.927,0.945,0.915,0.951,0.956
10_66_suave,178712,13114,0.073,0.927,0.916,0.936,0.9,0.945,0.949
