cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
122710,Centro Comunitario de Salud Familiar Los Lagos,Centro Comunitario de Salud Familiar (CECOSF),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,121,0,,-1.054,1.054,8.7,Baja,-40.28008,-73.08015
105496,Posta de Salud Rural Pintacura Sur,Posta de Salud Rural (PSR),Illapel,04201,Coquimbo,Servicio de Salud Coquimbo,mixto,147,1,,-0.999,0.999,8.6,Baja,-31.72315,-71.19768
116408,Posta de Salud Rural Juan Carlos Conteras Muñoz,Posta de Salud Rural (PSR),Romeral,07306,Maule,Servicio de Salud Del Maule,rural,10,0,,-1.609,1.609,8.6,Baja,-35.0131,-71.05721
118401,Posta de Salud Rural Manco,Posta de Salud Rural (PSR),Florida,08104,Biobío,Servicio de Salud Concepción,rural,133,0,,-0.784,0.784,8.6,Baja,-36.765793,-72.720296
116516,Posta de Salud Rural El Carmen( Longaví),Posta de Salud Rural (PSR),Longaví,07403,Maule,Servicio de Salud Del Maule,rural,20,0,,-1.26,1.26,8.5,Baja,-36.08982,-71.5577
116550,Posta de Salud Rural Bajos de Huenutil,Posta de Salud Rural (PSR),Parral,07404,Maule,Servicio de Salud Del Maule,mixto,53,1,,-1.238,1.238,8.5,Baja,-36.288946,-71.741127
116488,Posta de Salud Rural Villaseca,Posta de Salud Rural (PSR),Retiro,07405,Maule,Servicio de Salud Del Maule,rural,80,3,,-0.869,0.869,8.5,Baja,-35.86232,-71.83666
129450,Posta de Salud Rural Sierra Nevada,Posta de Salud Rural (PSR),Lonquimay,09205,La Araucanía,Servicio de Salud Araucanía Norte,rural,13,0,,-1.442,1.442,8.5,Baja,-38.56314,-71.47661
109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Huechuraba,13107,Metropolitana de Santiago,Servicio de Salud Metropolitano Norte,urbano,2159,26,0.172037318864554,-0.646,0.646,8.5,Baja,-33.37591,-70.62466
113406,Posta de Salud Rural El Recurso,Posta de Salud Rural (PSR),Buin,13402,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur,mixto,329,0,,-0.857,0.857,8.5,Baja,-33.69079,-70.70173
