serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Otro,No Aplica,1,12,7,5.1,36,41.7
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Centro de Referencia de Salud (CRS),Secundario,1,12,12,54.7,656,0
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Posta de Salud Rural (PSR),Primario,1,12,1,3,3,91.7
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Centro Comunitario de Salud Familiar (CECOSF),Primario,1,12,3,1.7,5,75
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Hospital,Primario,1,12,1,45,45,91.7
BS,prestaciones_cognitivas,01010916,Evaluacion de funciones cognitivas,Centro de Diagnóstico y Terapeútico,Secundario,1,12,2,1,2,83.3
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Centro de Salud Familiar (CESFAM),Primario,572,1144,1102,33.6,37001,3.7
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Posta de Salud Rural (PSR),Primario,550,1100,895,3.1,2760,18.6
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Centro Comunitario de Salud Familiar (CECOSF),Primario,196,392,347,7,2438,11.5
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Hospital,"",59,118,111,17.6,1949,5.9
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Hospital,Primario,15,30,26,20.5,534,13.3
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Consultorio General Rural (CGR),Primario,12,24,23,10.1,233,4.2
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Hospital,Terciario,7,14,13,20.6,268,7.1
P,bajo_control_am,P3171613,Dep. severa domiciliaria Con Demencia (subgrupo),Consultorio General Urbano (CGU),Primario,2,4,4,45.8,183,0
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Centro de Salud Familiar (CESFAM),Primario,545,1090,1035,20,20713,5
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Posta de Salud Rural (PSR),Primario,398,796,612,2,1249,23.1
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Centro Comunitario de Salud Familiar (CECOSF),Primario,185,370,311,4.1,1279,15.9
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Hospital,"",55,110,106,16.2,1713,3.6
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Hospital,Primario,17,34,31,15.3,475,8.8
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Consultorio General Rural (CGR),Primario,9,18,17,4.4,74,5.6
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Hospital,Terciario,8,16,13,23.5,306,18.8
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Centro Comunitario de Salud Mental  (COSAM),Secundario,4,8,4,13,52,50
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Consultorio General Urbano (CGU),Primario,2,4,4,6.2,25,0
P,bajo_control_sm,P6222300,Poblacion bajo control SM Demencias (incluye Alzheimer),Programa de Reparación y Atención Integral de Salud (PRAIS),No Aplica,1,2,2,2,4,0
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Centro Comunitario de Salud Mental  (COSAM),Secundario,59,118,93,8,745,21.2
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Hospital,Terciario,29,58,50,25.4,1271,13.8
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,6,12,11,42.9,472,8.3
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Hospital,"",5,10,7,2.9,20,30
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Posta de Salud Rural (PSR),Primario,4,8,4,1,4,50
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Centro de Salud Familiar (CESFAM),Primario,2,4,3,31,93,25
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Centro Comunitario de Salud Familiar (CECOSF),Primario,2,4,2,3.5,7,50
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Centro de Salud Mental,Secundario,2,4,4,67.8,271,0
P,bajo_control_sm,P6223310,Poblacion bajo control SM Demencias - seccion hermana,Programa de Reparación y Atención Integral de Salud (PRAIS),No Aplica,1,2,1,2,2,50
