serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,egresos_sm,05224201,Egreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,49,3.2,148,18.3
A,egresos_sm,05224201,Egreso programa SM por Demencias (incluye Alzheimer) - Leve,Consultorio General Rural (CGR),Primario,3,36,6,1,1,83.3
A,egresos_sm,05224201,Egreso programa SM por Demencias (incluye Alzheimer) - Leve,Centro de Salud Mental,Secundario,2,24,21,4.4,92,12.5
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Centro de Salud Familiar (CESFAM),Primario,261,3132,717,2.2,680,77.1
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Posta de Salud Rural (PSR),Primario,60,720,72,1.2,60,90
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Centro Comunitario de Salud Familiar (CECOSF),Primario,45,540,68,1.2,31,87.4
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Centro Comunitario de Salud Mental  (COSAM),Secundario,40,480,88,1.3,82,81.7
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Hospital,"",25,300,54,1.5,61,82
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Hospital,Terciario,15,180,49,2.5,112,72.8
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,5,60,39,3,118,35
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Consultorio General Rural (CGR),Primario,4,48,4,1.5,3,91.7
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Hospital,Primario,4,48,10,1.2,7,79.2
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Centro de Salud Mental,Secundario,2,24,24,11.7,281,0
A,egresos_sm,05224202,Egreso programa SM por Demencias - Moderado,Consultorio General Urbano (CGU),Primario,1,12,1,,0,91.7
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro de Salud Familiar (CESFAM),Primario,222,2664,539,2.1,526,79.8
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Posta de Salud Rural (PSR),Primario,49,588,58,1.4,56,90.1
A,egresos_sm,05224203,Egreso programa SM por Demencias - Avanzado,Centro Comunitario de Salud Mental  (COSAM),Secundario,33,396,65,1.5,68,83.6
